number,season,episode,airdate,title,tvmaze link
128,5,2,29 May 17,"The Trial","https://www.tvmaze.com/episodes/1164921/steven-universe-5x02-the-trial"
129,5,3,29 May 17,"Off Colors","https://www.tvmaze.com/episodes/1164922/steven-universe-5x03-off-colors"
130,5,4,29 May 17,"Lars' Head","https://www.tvmaze.com/episodes/1164923/steven-universe-5x04-lars-head"
131,5,5,15 Dec 17,"Dewey Wins","https://www.tvmaze.com/episodes/1352950/steven-universe-5x05-dewey-wins"
132,5,6,15 Dec 17,"Gemcation","https://www.tvmaze.com/episodes/1352952/steven-universe-5x06-gemcation"
133,5,7,22 Dec 17,"Raising the Barn","https://www.tvmaze.com/episodes/1352951/steven-universe-5x07-raising-the-barn"
134,5,8,22 Dec 17,"Back to the Kindergarten","https://www.tvmaze.com/episodes/1352953/steven-universe-5x08-back-to-the-kindergarten"
135,5,9,29 Dec 17,"Sadie Killer","https://www.tvmaze.com/episodes/1352954/steven-universe-5x09-sadie-killer"
136,5,10,29 Dec 17,"Kevin Party","https://www.tvmaze.com/episodes/1352955/steven-universe-5x10-kevin-party"
137,5,11,05 Jan 18,"Lars of the Stars","https://www.tvmaze.com/episodes/1382817/steven-universe-5x11-lars-of-the-stars"
138,5,12,05 Jan 18,"Jungle Moon","https://www.tvmaze.com/episodes/1382818/steven-universe-5x12-jungle-moon"
139,5,13,09 Apr 18,"Your Mother and Mine","https://www.tvmaze.com/episodes/1422681/steven-universe-5x13-your-mother-and-mine"
140,5,14,16 Apr 18,"The Big Show","https://www.tvmaze.com/episodes/1434751/steven-universe-5x14-the-big-show"
141,5,15,23 Apr 18,"Pool Hopping","https://www.tvmaze.com/episodes/1434752/steven-universe-5x15-pool-hopping"
142,5,16,30 Apr 18,"Letters to Lars","https://www.tvmaze.com/episodes/1434753/steven-universe-5x16-letters-to-lars"
143,5,17,07 May 18,"Can't Go Back","https://www.tvmaze.com/episodes/1435110/steven-universe-5x17-cant-go-back"
144,5,18,07 May 18,"A Single Pale Rose","https://www.tvmaze.com/episodes/1435111/steven-universe-5x18-a-single-pale-rose"
145,5,19,02 Jul 18,"Now We're Only Falling Apart","https://www.tvmaze.com/episodes/1481950/steven-universe-5x19-now-were-only-falling-apart"
146,5,20,03 Jul 18,"What's Your Problem?","https://www.tvmaze.com/episodes/1481951/steven-universe-5x20-whats-your-problem"
147,5,21,04 Jul 18,"The Question","https://www.tvmaze.com/episodes/1481952/steven-universe-5x21-the-question"
148,5,22,05 Jul 18,"Made of Honor","https://www.tvmaze.com/episodes/1481953/steven-universe-5x22-made-of-honor"
149,5,23,06 Jul 18,"Reunited (30 min)","https://www.tvmaze.com/episodes/1481954/steven-universe-5x23-reunited"
150,5,24,23 Jul 18,"Legs From Here to Homeworld","https://www.tvmaze.com/episodes/1501655/steven-universe-5x24-legs-from-here-to-homeworld"
151,5,25,24 Dec 18,"Familiar","https://www.tvmaze.com/episodes/1567424/steven-universe-5x25-familiar"
152,5,26,31 Dec 18,"Together Alone","https://www.tvmaze.com/episodes/1567425/steven-universe-5x26-together-alone"
153,5,27,07 Jan 19,"Escapism","https://www.tvmaze.com/episodes/1567426/steven-universe-5x27-escapism"
154,5,28,21 Jan 19,"Change Your Mind (60 min)","https://www.tvmaze.com/episodes/1567427/steven-universe-5x28-change-your-mind"
S01,1,0,21 May 13,"Pilot","https://www.tvmaze.com/episodes/201592/steven-universe-s01-special-pilot"
S02,2,0,28 May 15,"Just Lion Things","https://www.tvmaze.com/episodes/201593/steven-universe-s02-special-just-lion-things"
S02,2,0,06 Jul 15,"What Are Gems?","https://www.tvmaze.com/episodes/201594/steven-universe-s02-special-what-are-gems"
S02,2,0,05 Sep 15,"We Are the Crystal Gems","https://www.tvmaze.com/episodes/337545/steven-universe-s02-special-we-are-the-crystal-gems"
S02,2,0,01 Oct 15,"How Are Gems Made?","https://www.tvmaze.com/episodes/337546/steven-universe-s02-special-how-are-gems-made"
S02,2,0,22 Oct 15,"Wacky Sack Hot Dog Duffel Bag","https://www.tvmaze.com/episodes/399359/steven-universe-s02-special-wacky-sack-hot-dog-duffel-bag"
S02,2,0,02 Nov 15,"Fusion (1 min)","https://www.tvmaze.com/episodes/422787/steven-universe-s02-special-fusion"
S04,4,0,03 Oct 16,"Cooking with Lion (2 min)","https://www.tvmaze.com/episodes/953454/steven-universe-s04-special-cooking-with-lion"
S04,4,0,03 Oct 16,"Gem Karaoke (2 min)","https://www.tvmaze.com/episodes/953455/steven-universe-s04-special-gem-karaoke"
S04,4,0,03 Oct 16,"Steven Reacts (2 min)","https://www.tvmaze.com/episodes/953456/steven-universe-s04-special-steven-reacts"
S04,4,0,03 Oct 16,"Video Chat (2 min)","https://www.tvmaze.com/episodes/953762/steven-universe-s04-special-video-chat"
S04,4,0,03 Oct 16,"Steven's Song Time (2 min)","https://www.tvmaze.com/episodes/953770/steven-universe-s04-special-stevens-song-time"
S05,5,0,         ,"Steven Universe: The Movie","https://www.tvmaze.com/episodes/1680028/steven-universe-s05-special-steven-universe-the-movie"
